Code,Description,Name,Type,Group
551,"The client needs to change the request, such as adding a new request header.",Option Not Supported,Error,
598,The server did not receive a complete request message within the time that it was prepared to wait.,Network Read Timeout Error,Error,
599,The client did not produce a request within the time that the server was prepared to wait. The client may repeat the request without modifications at any later time.,Network Connect Timeout Error,Error,
100,"The server has received the request headers, and the client should proceed to send the request body",Continue,Informational,
101,The requester has asked the server to switch protocols,Switching Protocols,Informational,
102,"The server is processing the request, but no response is available yet",Processing,Informational,
103,The server is sending the client some information about the response before the full response is ready,Early Hints,Informational,
300,There are multiple options available for the resource that the client may follow,Multiple Choices,Redirection,
301,The requested resource has been permanently moved to a new location,Moved Permanently,Redirection,
302,The requested resource has been temporarily moved to a new location,Found,Redirection,
303,The response to the request can be found under a different URI,See Other,Redirection,
304,The requested resource has not been modified since the last time it was accessed,Not Modified,Redirection,
305,The requested resource must be accessed through the proxy given by the Location field,Use Proxy,Redirection,
306,This status code is no longer used and is reserved for future use,Switch Proxy,Redirection,
307,The requested resource has been temporarily moved to a new location,Temporary Redirect,Redirection,
308,The requested resource has been permanently moved to a new location,Permanent Redirect,Redirection,
200,Standard response for successful HTTP requests.,OK,Success,Okay
201,"The request has been fulfilled, resulting in the creation of a new resource.",Created,Success,
202,"The request has been accepted for processing, but the processing has not been completed.",Accepted,Success,
203,"The server is a transforming proxy (e.g. a Web accelerator) that received a 200 OK from its origin, but is returning a modified version of the origin’s response.",Non-Authoritative Information,Success,
204,The server successfully processed the request and is not returning any content.,No Content,Success,
205,"The server successfully processed the request and is not returning any content. Unlike a 204 response, this response requires that the requester reset the document view.",Reset Content,Success,
206,The server is delivering only part of the resource due to a range header sent by the client.,Partial Content,Success,
207,"The message body that follows is by default an XML message and can contain a number of separate response codes, depending on how many sub-requests were made.",Multi-Status,Success,
208,"The members of a DAV binding have already been enumerated in a previous reply to this request, and are not being included again.",Already Reported,Success,
226,"The server has fulfilled a request for the resource, and the response is a representation of the result of one or more instance-manipulations applied to the current instance.",IM Used,Success,
999,The Uppies Check experienced a problem.,Uppies Check Error,Error,Uppies Error
998,The Uppies experienced an encoding error.,Uppies Encoding Error,Error,Uppies Error
